idptar;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CODEINSEE;Accessibilité UFR;PAQT;IDFM;Sens;Doublon;Ligne;GIPA
3682893;614560;2428905;1;0;1;0;48.8583163927,2.53482098452;IDAMIVIF;PASTEUR;93050;0;;100100113;A;;113;2932
3685842;608457;2427573;1;1;1;1;48.8464539728,2.4516684212;IDAMIVIF;CLEMENT VIENOT;94080;1;;100100118;R;Ok;118;3240
3715229;612850;2429691;1;0;1;0;48.8654168211,2.5115536395;IDAMIVIF;KENNEDY - RENOUILLERES;93049;1;;100100114;R;Ok;114;3086
5478390;607890;2424388;1;0;1;0;48.8178356276,2.44388849874;IDAMIVIF;PASSERELLE DE CHARENTONNEAU;94069;1;;100100111;A;;111;2828
4023985;589918;2430977;1;1;1;1;48.8770219804,2.19913326259;IDAMIVIF;VOLTAIRE;92063;1;;100100141;R;Ok;141;4509
3682895;614983;2429167;1;0;1;0;48.8606613914,2.54059169069;IDAMIVIF;BLANCHEVILLE;93050;0;;100100113;A;;113;2933
3685754;610263;2428326;1;1;1;1;48.8531953691,2.47627961134;IDAMIVIF;DANIELLE CASANOVA;94033;1;;100100118;A;Ok;118;3290
4109819;612850;2429691;1;0;1;0;48.8654168211,2.5115536395;IDAMIVIF;KENNEDY - RENOUILLERES;93049;1;;100100114;R;Ok;114;3086
5478387;607102;2424422;1;0;1;0;48.8181503351,2.4331644477;IDAMIVIF;PASSERELLE DE SAINT-MAURICE;94069;0;;100100111;R;;111;2877
5991366;609574;2432664;1;0;1;0;48.8921928725,2.46699351271;IDAMIVIF;11-nov-18;93053;1;;100100143;A;OK;143;4472
3682903;616726;2429707;1;0;1;0;48.8654716674,2.56435453954;IDAMIVIF;POINTE DE GOURNAY;93050;0;;100100113;A;;113;2937
3685755;610263;2428326;1;1;1;1;48.8531953691,2.47627961134;IDAMIVIF;DANIELLE CASANOVA;94033;1;;100100118;R;Ok;118;3290
4109750;612208;2427145;1;0;1;0;48.8425472932,2.50273504611;IDAMIVIF;LEDRU-ROLLIN - GENERAL DE GAULLE;94058;1;;100100114;R;Ok;114;3014
5478400;606155;2424447;1;0;1;0;48.8183847161,2.42027613381;IDAMIVIF;PONT DE CHARENTON;94069;0;;100100111;R;;111;2880
5991321;603662;2436871;1;0;1;0;48.9300617718,2.38645207203;IDAMIVIF;6 ROUTES-TRAMWAY;93027;1;;100100143;A;OK;143;13740
3682907;617615;2430289;1;0;1;0;48.8706785794,2.57648895649;IDAMIVIF;AVENUE DES MARTYRS;77108;0;;100100113;A;;113;2939
3685695;609398;2428228;1;0;1;0;48.8523277676,2.46449685223;IDAMIVIF;DANTON;94033;1;;100100118;R;Ok;118;3244
4798805;612208;2427145;1;0;1;0;48.8425472932,2.50273504611;IDAMIVIF;LEDRU-ROLLIN - GENERAL DE GAULLE;94058;1;;100100114;A;Ok;114;3014
