Code STIF;Nom de Ligne;Origine;Destination;Accessibilité UFR;Rampe;Annonce sonore prochain arrêt;Annonce visuelle prochain arrêt
1001005920001;AMIBUS;CHATILLON MONTROUGE;MAIRIE DE CHATILLON;1;1;0;0
1001005950001;595;LA BOURSIDIERE;ROBINSON RER;1;0;1;0
1001007510001;N24;GRAND CERF;CHATELET;1;1;1;0
1009877530001;N51;GARE D'ENGHIEN-LES-BAINS;GARE SAINT-LAZARE.;1;0;1;0
1001007550001;N42;GARONOR;GARE DE L'EST;0;0;1;0
1001007570001;N34;TORCY RER;GARE DE LYON;1;0;1;0
1001007580001;N33;VILLIERS - LE PLESSIS-TREVISE RER;GARE DE LYON;0;0;1;0
1001007600001;N21;PLACE DE LA LIBERATION;CHATELET;0;0;1;0
1001007630001;N32;BOISSY-SAINT-LEGER RER;GARE DE LYON;0;0;1;0
1001007660001;N43;GARE DE SARCELLES-SAINT-BRICE;GARE DE L'EST;0;0;1;0
1001007720001;N41;SEVRAN - LIVRY-RER;GARE DE L'EST;0;0;1;0
1001007800001;N11;CHATEAU DE VINCENNES;PONT DE NEUILLY-METRO;1;1;1;1
1001007820001;N15;GABRIEL PERI-METRO;VILLEJUIF-LOUIS ARAGON;0;0;1;0
1001120110001;T1;QUATRE ROUTES;NOISY-LE-SEC RER;1;0;1;0
1001100040001;4;PORTE DE CLIGNANCOURT;PORTE D'ORLÉANS;0;0;0;0
1001100110001;11;CHÂTELET;MAIRIE DES LILAS;0;0;0;0
1001100130001;13;SAINT-DENIS - UNIVERSITÉ • ASNIÈRES - GENNEVILLIERS - LES COURTILLES;CHÂTILLON - MONTROUGE;0;0;0;0
1001110020001;RER B;AÉROPORT CHARLES DE GAULLE • MITRY - CLAYE;ROBINSON • ANTONY • SAINT-RÉMY-LÈS-CHEVREUSE;1;0;1;1
