Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-02;0087118158;Romilly-sur-Seine;3;0;0;0;3
2018-02;0087474155;Rosporden;3;3;3;0;9
2018-02;0087193318;Saint-Avold;2;2;0;0;4
2018-02;0087722652;Saint-Clair - Les Roches;1;0;0;0;1
2018-02;0087271015;Saint-Denis;0;0;0;0;0
2018-02;0087491001;Saintes;79;27;21;2;129
2018-02;0087726000;Saint-Étienne Châteaucreux;116;63;34;0;213
2018-02;0087611137;Saint-Gaudens;27;4;2;0;33
2018-02;0087276170;Saint-Gratien;0;0;0;0;0
2018-02;0087742320;Saint-Jean-de-Maurienne Arvan;34;44;9;0;87
2018-02;0087761718;Saint-Marcellin;4;2;2;0;8
2018-02;0087481705;Saint-Nazaire;51;17;17;1;86
2018-02;0087571240;Saint-Pierre-des-Corps;380;159;124;17;680
2018-02;0087757526;Saint-Raphaël Valescure;61;39;64;3;167
2018-02;0087592824;Saint-Yrieix;16;0;0;0;16
2018-02;0087212225;Saverne;12;4;1;0;17
2018-02;0087545236;Savigny-sur-Orge;0;0;0;0;0
2018-02;0087773200;Sète;52;17;24;0;93
2018-02;0087272039;Seugy;0;0;0;0;0
2018-02;0087713677;Seurre;0;0;2;0;2
2018-02;0087271429;Sevran - Livry;0;0;0;0;0
2018-02;0087271445;Sevran Beaudottes;0;15;0;0;15
2018-02;0087382341;Sèvres - Ville-d'Avray;0;0;0;0;0
2018-02;0087751206;Sisteron;1;0;0;0;1
2018-02;0087671008;Tarbes;60;50;12;0;122
2018-02;0087734475;Thiers;1;0;0;0;1
2018-02;0087381822;Thun le Paradis;0;0;0;0;0
2018-02;0087755009;Toulon;176;83;129;4;392
2018-02;0087571000;Tours;244;224;37;8;513
2018-02;0087543074;Toury;7;0;2;0;9
2018-02;0087116491;Trilport;0;0;0;0;0
2018-02;0087118000;Troyes;21;4;14;0;39
2018-02;0087116293;Vaires - Torcy;6;0;0;0;6
2018-02;0087611863;Valence d'Agen;5;0;0;0;5
2018-02;0087763029;Valence TGV Rhône-Alpes Sud;288;133;104;3;528
2018-02;0087476606;Vannes;61;31;33;1;126
2018-02;0087386656;Vernouillet - Verneuil;5;0;0;0;5
2018-02;0087393009;Versailles Chantiers;44;1;3;0;48
2018-02;0087722587;Vienne;15;15;1;1;32
2018-02;0087386649;Villennes-sur-Seine;0;0;0;0;0
2018-02;0087271452;Villepinte;0;0;0;0;0
2018-02;0087382887;Viroflay Rive Droite;0;0;0;0;0
2018-02;0087681312;Viry-Châtillon;0;0;0;0;0
2018-02;0087682112;Yerres;1;0;0;0;1
2018-03;0087317362;Abbeville;28;0;1;0;29
2018-03;0087386052;Achères Grand Cormier;0;0;0;0;0
2018-03;0087271494;Aéroport Charles de Gaulle 2 TGV;204;201;386;13;804
2018-03;0087313098;Ailly-sur-Somme;0;0;0;0;0
2018-03;0087319012;Aix-en-Provence TGV;225;125;138;4;492
2018-03;0087444711;Alençon;32;6;16;0;54
2018-03;0087743716;Ambérieu-en-Bugey;35;11;16;2;64
2018-03;0087574343;Amboise;30;0;4;0;34
2018-03;0087481192;Ancenis;40;12;3;0;55
2018-03;0087381848;Argenteuil;14;0;0;0;14
2018-03;0087751750;Aubagne;23;61;7;0;91
2018-03;0087386730;Aubergenville Élisabethville;1;0;0;0;1
2018-03;0087295600;Aulnoye-Aymeries;53;5;13;1;72
2018-03;0087476200;Auray;64;20;44;5;133
2018-03;0087576439;Avord;0;0;0;0;0
2018-03;0087382002;Bécon les Bruyères;0;2;0;0;2
2018-03;0087300822;Belfort - Montbéliard TGV;59;24;32;0;115
2018-03;0087745000;Bellegarde;124;60;54;6;244
2018-03;0087193250;Béning;2;3;0;0;5
2018-03;0087328328;Bibliothèque François Mitterrand;0;0;0;0;0
2018-03;0087381079;Bois-Colombes;0;0;0;0;0
2018-03;0087382440;Bougival;0;0;0;0;0
2018-03;0087682138;Boussy-Saint-Antoine;0;0;0;0;0
2018-03;0087545491;Breuillet Village;0;0;0;0;0
2018-03;0087696088;Briare;0;0;0;0;0
2018-03;0087444000;Caen;246;138;71;9;464
2018-03;0087757625;Cannes;245;58;235;5;543
2018-03;0087613356;Caussade;1;0;2;0;3
2018-03;0087696492;Cercy-la-Tour;0;2;0;0;2
2018-03;0087382655;Cergy le Haut;1;6;0;0;7
2018-03;0087381905;Cergy Préfecture;1;2;0;0;3
2018-03;0087682161;Cesson;0;0;0;0;0
2018-03;0087174003;Châlons-en-Champagne;19;34;1;0;54
2018-03;0087144055;Charmes;2;0;0;0;2
2018-03;0087576298;Châteauneuf-sur-Cher;0;3;2;0;5
2018-03;0087597005;Châteauroux;39;15;35;3;92
2018-03;0087571687;Chinon;9;120;0;1;130
2018-03;0087696807;Clamecy;1;0;0;0;1
2018-03;0087381459;Conflans Fin d'Oise;2;30;0;0;32
2018-03;0087313056;Corbie;0;0;0;0;0
2018-03;0087394221;Courville-sur-Eure;1;0;0;0;1
2018-03;0087673202;Dax;115;30;88;7;240
